school_id,school_name,students_2018,students_2019,students_2020,teachers_2018,teachers_2019,teachers_2020
1,ALEXANDER HENDERSON ELEMENTARY SCHOOL,321.0,0.0,0.0,33.0,0.0,0.0
1,MIDTOWN COMMUNITY SCHOOL #8,1204.0,0.0,0.0,80.0,0.0,0.0
2,BRIGANTINE ELEMENTARY SCHOOL,307.0,0.0,0.0,37.0,0.0,0.0
2,J. J. FINLEY ELEMENTARY SCHOOL,687.0,645.0,0.0,47.0,47.0,0.0
4,E C  BEST ELEMENTARY SCHOOL,491.0,517.0,0.0,27.0,27.0,0.0
7,BASIC ACADEMY OF INTL STUDIES HS,2569.0,2563.0,0.0,102.0,113.0,0.0
7,FAGAITUA HIGH SCHOOL,498.0,462.0,0.0,0.0,0.0,0.0
7,JAMES W. RICE PRIMARY SCHOOL,968.0,0.0,0.0,47.0,0.0,0.0
8,BARCELONA MIDDLE SCHOOL,1316.0,0.0,0.0,59.0,0.0,0.0
8,BERTHA RONZONE ELEMENTARY SCHOOL,905.0,838.0,0.0,47.0,44.0,0.0
7800026,ULLA F MULLER ELEMENTARY SCHOOL,392.0,457.0,477.0,29.0,26.0,25.0
7800027,YVONNE BOWSKY ELEMENTARY SCHOOL,401.0,380.0,397.0,30.0,30.0,29.0
7800028,PEARL B. LARSEN ELEMENTARY SCHOOL,321.0,414.0,418.0,28.0,37.0,35.0
7800029,RICARDO RICHARDS ELEMENTARY SCCHOOL,400.0,435.0,427.0,32.0,28.0,23.0
7800030,SAINT CROIX CENTRAL HIGH,832.0,829.0,796.0,73.0,73.0,68.0
7800033,CANCRYN JUNIOR HIGH SCHOOL,488.0,770.0,763.0,44.0,64.0,62.0
7800034,BERTHA BOSCHULTE JUNIOR HIGH,439.0,547.0,577.0,44.0,50.0,47.0
7800037,JOHN H. WOODSON JUNIOR HIGH SCHOOL,287.0,376.0,401.0,35.0,38.0,31.0
90455,RONALD A. MCNAIR ELEMENTARY,847.0,0.0,0.0,46.0,0.0,0.0
90470,HEATHER RIDGE MIDDLE SCHOOL,14.0,0.0,0.0,15.0,0.0,0.0
